sourceIndex,status,score,sourceName,seed,item,en,name,country,lat,lng,category,wikiEnTitle,wikiRuTitle,image,typeLabel,note
,unresolved,,,Paro,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Beni,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Chuquisaca,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Pando,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Potosi,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Santa Cruz,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Central,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Chobe,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Kgalagadi,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Acre,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Amapa,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Amazonas,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Distrito Federal,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Belait,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Tutong,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Bale,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Bam,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Comoe,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Ayeyarwady,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Bago,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Magway,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Kampong Cham,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Kampong Chhnang,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Kampong Spoe,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Kampong Thum,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Kandal,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Adamaoua,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Centre,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Est,,,,,,,desert,,,,,could not resolve seed country
